Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
235,A001,大度路,大度路,大度路,180.61,4461.76,3944.33,36.08,4146.54,3795.38,121.481005,25.122283
236,A002,重陽橋,重陽橋,重陽橋,49.74,3317.01,5027.58,69.62,2721.82,4144.64,121.504692,25.085503
237,A003,臺北橋,臺北橋,臺北橋,45.6452,1478.4366,8367.622,98.5264,1783.599,7902.5806,121.507331,25.063505
238,A004,忠孝橋,忠孝橋,忠孝橋,121.1334,4187.8408,4742.2824,158.5397,5827.6566,4869.864,121.500685,25.051883
239,A005,中興橋,中興橋,中興橋,87.0188,2406.6544,4063.9086,59.225,2004.402,3831.8512,121.495751,25.047398
240,A006,華江橋,華江橋,華江橋,21.5164,3032.3576,4813.5072,92.2378,2552.3776,3991.7268,121.481799,25.035793
241,A007,光復橋,光復橋,光復橋,13.762,775.8244,3648.3064,42.273,612.5778,3572.4492,121.488545,25.02348
242,A008,萬板大橋,萬板大橋,萬板大橋,51.023,1049.2336,1301.4946,35.2434,754.6932,1174.042,121.48662,25.029497
243,A009,華中橋,華中橋,華中橋,23.0264,1631.0424,2812.8656,36.1876,1247.5988,2298.786,121.495429,25.010048
244,A010,中正橋,中正橋,中正橋,86.2704,2463.4112,6052.8008,73.958,1896.09,5327.412,121.516089,25.020234
245,A011,永福橋,永福橋,永福橋,0,989.09,4130.91,8.99,538.43,2761.58,121.527153,25.010646
246,A012,福和橋,福和橋,福和橋,81.974,2219.6948,4226.5178,69.5348,1468.1928,3913.0576,121.531572,25.008342
247,A013,鳴遠橋,鳴遠橋,鳴遠橋,92.32,1780.92,2722.9,93.54,1353.36,2323.58,121.54057,24.985412
248,A014,舊景美溪橋,舊景美溪橋,舊景美溪橋,0,508.2,1274,0,408.9,1436,121.540845,24.987876
249,A015,寶橋,寶橋,寶橋,72.76,1370.58,2194.66,74.19,983.16,1933.44,121.553162,24.979732
250,A016,南港橋,南港橋,南港橋,147.52,1578.41,3627.5,177.17,1597.42,2897.22,121.619793,25.054695
251,A017,水源快速道路,水源快速道路,水源快速道路,128.45,5246.55,0,128.48,5135.52,0,121.526276,25.014679
252,A018,南深路,南深路,南深路,15.5076,78.0348,322.9644,3.382,78.2536,253.65,121.622498,25.02798
253,A019,景美溪橋,景美溪橋,景美溪橋,26.48,958.02,1663.5,23.72,817.57,1543.34,121.544588,24.986691
254,A020,基隆路高架道路(新店永和匯流交織進城),基隆路高架道路(新店永和匯流交織進城),基隆路高架道路(新店永和匯流交織進城),52.75,3414.3,0,56.462,1655.118,0,121.545135,25.017818
255,A021,基隆路高架道路(新店永和匯流交織進城),基隆路高架道路(新店永和匯流交織進城),基隆路高架道路(新店永和匯流交織進城),52.75,3414.3,0,56.462,1655.118,0,121.545135,25.017818
256,A022,華翠大橋,華翠大橋,華翠大橋,67.812,2861.568,0,64.39,2425.018,0,121.486781,25.027399
257,A023,汐湖二橋,汐湖二橋,汐湖二橋,5.11,391.94,795.95,3.63,354.52,496.72,121.618191,25.066374
